piRNA,disease,score
miR-378i,Tomudex,0
miR-378i,Raltitrexed,0
miR-378i,Pingyangmycin,0
miR-378i,Hydrogen Peroxide,0
miR-378i,Dibenziodolium,0
miR-378i,Carmustine,0
miR-378i,Arsenic Trioxide,0
miR-378i,Pemetrexed,0
miR-378i,Teniposide,0
miR-378i,Euthyrox,0
miR-378i,Leucovorin,0
miR-378i,Fulvestrant,0
miR-378i,Epirubicin hydrochloride,0
miR-378i,SIOP treatment protocol,0
miR-378i,Lapatinib,0
miR-378i,10-hydroxycamptothecin,0
miR-381,Dichloroacetate,0
miR-378i,AED therapy,0
miR-381,Tamoxifen,0
miR-381,Gefitinib,0
miR-381,Nilotinib,0
miR-381,Imatinib,0
miR-381,Dasatinib,0
miR-381,Gemcitabine,0
miR-378i,chemotherapy,0
miR-378i,AGRO100,0
miR-378i,Ethanol,0
miR-378i,Hydroxyurea,0
miR-378i,5-fluorouracil,0
miR-378i,modified ALLIC BFM 2002 protocol,0
miR-378i,DAPT,0
miR-378i,Dihydrotestosterone,0
miR-378i,Epirubicin HCl,0
miR-378i,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-378i,histone deacetylase inhibitor,0
miR-378i,Cyclophosphamide,0
miR-378i,Exemestane,0
miR-378i,Anastrozole,0
miR-378i,Cytarabine,0
miR-378i,Rituximab,0
miR-378i,Retinoic Acid,0
miR-378i,Mafosfamide,0
miR-378i,Paroxetine,0
miR-378i,Fludarabine,0
miR-378i,Prednisone,0
miR-378i,Vinorelbine,0
miR-378i,Cyclosporin A,0
miR-378i,Colchicine,0
miR-378i,Lorlatinib,0
miR-378i,Crizotinib,0
miR-378i,Letrozole,0
miR-378i,Sunitinib,0
miR-378i,Platinum,0
miR-378i,Levetiracetam,0
miR-378i,Valproate,0
miR-378i,Ribavirin,0
miR-378i,pegIFN/RBV therapy,0
miR-378i,Dichloroacetate,0
miR-378i,Cyclopamine,0
miR-378i,Interferon-alpha,0
miR-378i,Mitomycin C,0
miR-378i,Pertuzumab,0
miR-378i,Arsenic trioxide,0
miR-378i,Irinotecan,0
miR-378i,Selumetinib,0
miR-378i,Staurosporine,0
miR-378i,Topotecan,0
miR-381,Trastuzumab,0
miR-381,Fluorouracil,0
miR-381,Paclitaxel,0
miR-381,FOLFOX Chemotherapy,0
miR-381,Cyclosporin A,0
miR-381,Colchicine,0
miR-381,Lorlatinib,0
miR-381,Crizotinib,0
miR-381,Vemurafenib,0
miR-381,Fluoropyrimidine,0
miR-381,10-Hydroxycamptothecin,0
miR-381,Epirubicin,0
miR-381,Prednisolone,0
miR-381,L-asparaginase,0
miR-381,Daunorubicin,0
miR-381,5-Fluorouracil,0
miR-381,platinum-based doublet chemotherapy ,0
miR-381,PLX4720,0
miR-381,Vinorelbine,0
miR-381,Prednisone,0
miR-381,Paroxetine,0
miR-381,Cyclophosphamide,0
miR-381,Mafosfamide,0
miR-381,Retinoic Acid,0
miR-381,Rituximab,0
miR-381,Cytarabine,0
miR-381,Anastrozole,0
miR-381,Exemestane,0
miR-381,Letrozole,0
miR-381,Sunitinib,0
miR-381,Platinum,0
miR-381,Levetiracetam,0
miR-381,Valproate,0
miR-381,Ribavirin,0
miR-381,pegIFN/RBV therapy,0
miR-381,Capecitabine,0
miR-381,Interferon-gamma,0
miR-381,Propofol,0
miR-381,Nutlin-3a,0
miR-381,Methotrexate,0
miR-381,Bortezomib,0
miR-381,"1,25(OH)2D3",0
miR-381,Temsirolimus,0
miR-381,Sirolimus,0
miR-381,Rapamycin,0
miR-381,Mitoxantrone,0
miR-381,Vinblastine,0
miR-381,Etoposide,0
miR-381,Vincristine,0
miR-381,Adriamycin,0
miR-381,Tetraplatin,0
miR-381,Carboplatin,0
miR-381,Antioestrogens,0
miR-381,Pirarubicin,0
miR-381,Verapamil,0
miR-381,epirubicin,0
miR-381,TRAIL therapy,0
miR-381,Glucocorticoid,0
miR-381,Sorafenib,0
miR-381,Melphalan,0
miR-381,Oxymatrine,0
miR-381,Temozolomide,0
miR-381,Cetuximab,0
miR-381,Taxol,0
miR-381,Dexamethasone,0
miR-381,Ibrutinib,0
miR-381,Erlotinib,0
miR-381,Curcumin,0
miR-381,PCI-24781,0
miR-381,Camptothecin,0
miR-382,AGRO100,0
miR-382,DAPT,0
miR-3940,Curcumin,0
miR-3937,Cyclophosphamide,0
miR-3937,Exemestane,0
miR-3937,Anastrozole,0
miR-3937,Cytarabine,0
miR-3937,Rituximab,0
miR-3937,Retinoic Acid,0
miR-3937,Mafosfamide,0
miR-3937,Paroxetine,0
miR-3937,Sunitinib,0
miR-3937,Prednisone,0
miR-3937,Vinorelbine,0
miR-3937,Cyclosporin A,0
miR-3937,Colchicine,0
miR-3937,Lorlatinib,0
miR-3937,Crizotinib,0
miR-3937,Letrozole,0
miR-3937,Platinum,0
miR-3937,Rapamycin,0
miR-3937,Pertuzumab,0
miR-3937,Fludarabine,0
miR-3937,Topotecan,0
miR-3937,Staurosporine,0
miR-3937,Selumetinib,0
miR-3937,Irinotecan,0
miR-3937,Arsenic trioxide,0
miR-3937,Mitomycin C,0
miR-3937,Levetiracetam,0
miR-3937,Interferon-alpha,0
miR-3937,Cyclopamine,0
miR-3937,Dichloroacetate,0
miR-3937,pegIFN/RBV therapy,0
miR-3937,Ribavirin,0
miR-3937,Valproate,0
miR-3937,Vemurafenib,0
miR-3937,Fluoropyrimidine,0
miR-3937,FOLFOX Chemotherapy,0
miR-3937,Chemotherapy,0
miR-3937,Temozolomide,0
miR-3937,Oxymatrine,0
miR-3937,Melphalan,0
miR-3937,Sorafenib,0
miR-3937,Glucocorticoid,0
miR-3937,TRAIL therapy,0
miR-3937,epirubicin,0
miR-3937,10-Hydroxycamptothecin,0
miR-3937,Verapamil,0
miR-3937,Pirarubicin,0
miR-3937,Methotrexate,0
miR-3937,Bortezomib,0
miR-3937,"1,25(OH)2D3",0
miR-3937,Temsirolimus,0
miR-3937,Cetuximab,0
miR-3937,Taxol,0
miR-3937,Dexamethasone,0
miR-3937,Ibrutinib,0
miR-3937,Erlotinib,0
miR-3937,Curcumin,0
miR-3937,PCI-24781,0
miR-3937,Camptothecin,0
miR-3937,Vinblastine,0
miR-3937,Interferon-gamma,0
miR-3937,Epirubicin,0
miR-3937,Capecitabine,0
miR-3937,PLX4720,0
miR-3937,platinum-based doublet chemotherapy ,0
miR-3937,Daunorubicin,0
miR-3937,L-asparaginase,0
miR-3937,Prednisolone,0
miR-3937,histone deacetylase inhibitor,0
miR-3937,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-3937,Epirubicin HCl,0
miR-3940,Etoposide,0
miR-3940,"1,25(OH)2D3",0
miR-3940,Temsirolimus,0
miR-3940,Sirolimus,0
miR-3940,Rapamycin,0
miR-3940,Nutlin-3a,0
miR-3940,Mitoxantrone,0
miR-3940,Vincristine,0
miR-3940,Paclitaxel,0
miR-3940,Adriamycin,0
miR-3940,Docetaxel,0
miR-3940,Tetraplatin,0
miR-3940,Carboplatin,0
miR-3940,Oxaliplatin,0
miR-3940,Antioestrogens,0
miR-3940,Bortezomib,0
miR-3940,Methotrexate,0
miR-3940,Pirarubicin,0
miR-3940,Verapamil,0
miR-3940,epirubicin,0
miR-3940,Chemotherapy,0
miR-3940,TRAIL therapy,0
miR-3940,Glucocorticoid,0
miR-3940,Sorafenib,0
miR-3940,Melphalan,0
miR-3940,Oxymatrine,0
miR-3940,Temozolomide,0
miR-3940,Cetuximab,0
miR-3940,Taxol,0
miR-3940,Dexamethasone,0
miR-3940,Ibrutinib,0
miR-3940,Erlotinib,0
miR-3940,Propofol,0
miR-3940,Fluorouracil,0
miR-3937,SIOP treatment protocol,0
miR-3937,Carmustine,0
miR-3937,Lapatinib,0
miR-3937,Tomudex,0
miR-3937,Raltitrexed,0
miR-3937,Pingyangmycin,0
miR-3937,Hydrogen Peroxide,0
miR-3937,Dibenziodolium,0
miR-3937,Betulinic acid,0
miR-3940,Trastuzumab,0
miR-3937,Arsenic Trioxide,0
miR-3937,Teniposide,0
miR-3937,Euthyrox,0
miR-3937,Leucovorin,0
miR-3937,Fulvestrant,0
miR-3937,Epirubicin hydrochloride,0
miR-3937,Pemetrexed,0
miR-3937,10-hydroxycamptothecin,0
miR-3937,AGRO100,0
miR-3937,Dihydrotestosterone,0
miR-3937,DAPT,0
miR-3937,modified ALLIC BFM 2002 protocol,0
miR-3937,5-fluorouracil,0
miR-3937,Hydroxyurea,0
miR-3937,Ethanol,0
miR-3937,chemotherapy,0
miR-3937,AED therapy,0
miR-3940,Cisplatin,0
miR-3940,Dasatinib,0
miR-3940,Imatinib,0
miR-3940,Nilotinib,0
miR-3940,Gefitinib,0
miR-3940,Tamoxifen,0
miR-3937,Sirolimus,0
miR-3937,Nutlin-3a,0
miR-382,modified ALLIC BFM 2002 protocol,0
miR-383,Ibrutinib,0
miR-383,Interferon-gamma,0
miR-383,Vinblastine,0
miR-383,Camptothecin,0
miR-383,PCI-24781,0
miR-383,Curcumin,0
miR-383,Erlotinib,0
miR-383,Dexamethasone,0
miR-383,Capecitabine,0
miR-383,Taxol,0
miR-383,Cetuximab,0
miR-383,Temozolomide,0
miR-383,Oxymatrine,0
miR-383,Melphalan,0
miR-383,Sorafenib,0
miR-383,Epirubicin,0
miR-383,platinum-based doublet chemotherapy ,0
miR-3937,Mitoxantrone,0
miR-383,Cyclosporin A,0
miR-383,Retinoic Acid,0
miR-383,Mafosfamide,0
miR-383,Cyclophosphamide,0
miR-383,Paroxetine,0
miR-383,Prednisone,0
miR-383,Vinorelbine,0
miR-383,Colchicine,0
miR-383,5-Fluorouracil,0
miR-383,Lorlatinib,0
miR-383,Crizotinib,0
miR-383,Vemurafenib,0
miR-383,Fluoropyrimidine,0
miR-383,FOLFOX Chemotherapy,0
miR-383,10-Hydroxycamptothecin,0
miR-383,Glucocorticoid,0
miR-383,TRAIL therapy,0
miR-383,Chemotherapy,0
miR-383,Imatinib,0
miR-383,Paclitaxel,0
miR-383,Fluorouracil,0
miR-383,Trastuzumab,0
miR-383,Tamoxifen,0
miR-383,Gefitinib,0
miR-383,Nilotinib,0
miR-383,Dasatinib,0
miR-383,epirubicin,0
miR-383,Gemcitabine,0
miR-382,AED therapy,0
miR-382,chemotherapy,0
miR-382,Ethanol,0
miR-382,Hydroxyurea,0
miR-382,5-fluorouracil,0
miR-383,Propofol,0
miR-383,Antioestrogens,0
miR-383,Carboplatin,0
miR-383,Tetraplatin,0
miR-383,Docetaxel,0
miR-383,Adriamycin,0
miR-383,Etoposide,0
miR-383,Mitoxantrone,0
miR-383,Nutlin-3a,0
miR-383,Rapamycin,0
miR-383,Sirolimus,0
miR-383,Temsirolimus,0
miR-383,"1,25(OH)2D3",0
miR-383,Bortezomib,0
miR-383,Methotrexate,0
miR-383,Pirarubicin,0
miR-383,Verapamil,0
miR-383,Rituximab,0
miR-383,Cytarabine,0
miR-383,Anastrozole,0
miR-383,5-fluorouracil,0
miR-3937,Dasatinib,0
miR-3937,Cisplatin,0
miR-383,AED therapy,0
miR-383,chemotherapy,0
miR-383,Ethanol,0
miR-383,Hydroxyurea,0
miR-383,modified ALLIC BFM 2002 protocol,0
miR-383,Raltitrexed,0
miR-383,DAPT,0
miR-383,Dihydrotestosterone,0
miR-383,AGRO100,0
miR-383,10-hydroxycamptothecin,0
miR-383,Pemetrexed,0
miR-383,Lapatinib,0
miR-3937,Imatinib,0
miR-3937,Nilotinib,0
miR-3937,Doxorubicin,0
miR-3937,Gefitinib,0
miR-3937,Tamoxifen,0
miR-3937,Trastuzumab,0
miR-3937,Fluorouracil,0
miR-3937,Paclitaxel,0
miR-3937,Propofol,0
miR-3937,Antioestrogens,0
miR-3937,Oxaliplatin,0
miR-3937,Carboplatin,0
miR-3937,Tetraplatin,0
miR-3937,Docetaxel,0
miR-3937,Adriamycin,0
miR-3937,Vincristine,0
miR-3937,Etoposide,0
miR-383,Tomudex,0
miR-383,Pingyangmycin,0
miR-383,Exemestane,0
miR-383,Dichloroacetate,0
miR-383,Irinotecan,0
miR-383,Arsenic trioxide,0
miR-383,Pertuzumab,0
miR-383,Mitomycin C,0
miR-383,Interferon-alpha,0
miR-383,Cyclopamine,0
miR-383,pegIFN/RBV therapy,0
miR-383,Hydrogen Peroxide,0
miR-383,Ribavirin,0
miR-383,Valproate,0
miR-383,Levetiracetam,0
miR-383,Platinum,0
miR-383,Sunitinib,0
miR-383,Letrozole,0
miR-383,Selumetinib,0
miR-383,Staurosporine,0
miR-383,Topotecan,0
miR-383,Fludarabine,0
miR-383,histone deacetylase inhibitor,0
miR-383,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-383,Epirubicin HCl,0
miR-383,SIOP treatment protocol,0
miR-383,Epirubicin hydrochloride,0
miR-383,Fulvestrant,0
miR-383,Leucovorin,0
miR-383,Euthyrox,0
miR-383,Teniposide,0
miR-383,Arsenic Trioxide,0
miR-383,Betulinic acid,0
miR-383,Carmustine,0
miR-383,Dibenziodolium,0
miR-500a,Ethanol,0
circBA9.3,Cisplatin,0
miR-500a,AED therapy,0
miR-6825-5p,Teniposide,0
miR-6825-5p,Pingyangmycin,0
miR-6825-5p,Hydrogen Peroxide,0
miR-6825-5p,Dibenziodolium,0
miR-6825-5p,Carmustine,0
miR-6825-5p,Betulinic acid,0
miR-6825-5p,Arsenic Trioxide,0
miR-6825-5p,Euthyrox,0
miR-6825-5p,Tomudex,0
miR-6825-5p,Leucovorin,0
miR-6825-5p,Fulvestrant,0
miR-6825-5p,Epirubicin hydrochloride,0
miR-6825-5p,SIOP treatment protocol,0
miR-6825-5p,Epirubicin HCl,0
miR-6825-5p,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-6825-5p,Raltitrexed,0
miR-6825-5p,Lapatinib,0
miR-6845-5p,Doxorubicin,0
miR-6825-5p,Ethanol,0
miR-6845-5p,Imatinib,0
miR-6845-5p,Dasatinib,0
miR-6845-5p,Gemcitabine,0
miR-6845-5p,Cisplatin,0
miR-6825-5p,AED therapy,0
miR-6825-5p,chemotherapy,0
miR-6825-5p,Hydroxyurea,0
miR-6825-5p,Pemetrexed,0
miR-6825-5p,5-fluorouracil,0
miR-6825-5p,modified ALLIC BFM 2002 protocol,0
miR-6825-5p,DAPT,0
miR-6825-5p,Dihydrotestosterone,0
miR-6825-5p,AGRO100,0
miR-6825-5p,10-hydroxycamptothecin,0
miR-6825-5p,histone deacetylase inhibitor,0
miR-6825-5p,Fludarabine,0
miR-6825-5p,Topotecan,0
miR-6825-5p,Vinorelbine,0
miR-6825-5p,Rituximab,0
miR-6825-5p,Retinoic Acid,0
miR-6825-5p,Mafosfamide,0
miR-6825-5p,Cyclophosphamide,0
miR-6825-5p,Paroxetine,0
miR-6825-5p,Prednisone,0
miR-6825-5p,Cyclosporin A,0
miR-6825-5p,Staurosporine,0
miR-6825-5p,Colchicine,0
miR-6825-5p,Lorlatinib,0
miR-6825-5p,Crizotinib,0
miR-6825-5p,Vemurafenib,0
miR-6825-5p,Fluoropyrimidine,0
miR-6825-5p,FOLFOX Chemotherapy,0
miR-6825-5p,Cytarabine,0
miR-6825-5p,Anastrozole,0
miR-6825-5p,Exemestane,0
miR-6825-5p,Letrozole,0
miR-6825-5p,Platinum,0
miR-6825-5p,Levetiracetam,0
miR-6825-5p,Valproate,0
miR-6825-5p,Ribavirin,0
miR-6825-5p,pegIFN/RBV therapy,0
miR-6825-5p,Dichloroacetate,0
miR-6825-5p,Cyclopamine,0
miR-6825-5p,Interferon-alpha,0
miR-6825-5p,Mitomycin C,0
miR-6825-5p,Pertuzumab,0
miR-6825-5p,Arsenic trioxide,0
miR-6825-5p,Irinotecan,0
miR-6825-5p,Selumetinib,0
miR-6845-5p,Nilotinib,0
miR-6845-5p,Gefitinib,0
miR-675*,Pirarubicin,0
miR-6845-5p,Daunorubicin,0
miR-6845-5p,Vemurafenib,0
miR-6845-5p,Fluoropyrimidine,0
miR-6845-5p,FOLFOX Chemotherapy,0
miR-6845-5p,10-Hydroxycamptothecin,0
miR-6845-5p,Prednisolone,0
miR-6845-5p,L-asparaginase,0
miR-6845-5p,5-Fluorouracil,0
miR-6845-5p,Lorlatinib,0
miR-6845-5p,platinum-based doublet chemotherapy ,0
miR-6845-5p,PLX4720,0
miR-6845-5p,Capecitabine,0
miR-6845-5p,Epirubicin,0
miR-6845-5p,Interferon-gamma,0
miR-6845-5p,Vinblastine,0
miR-6845-5p,Crizotinib,0
miR-6845-5p,Colchicine,0
miR-6845-5p,Tamoxifen,0
miR-6845-5p,Cytarabine,0
miR-6845-5p,Levetiracetam,0
miR-6845-5p,Platinum,0
miR-6845-5p,Sunitinib,0
miR-6845-5p,Letrozole,0
miR-6845-5p,Exemestane,0
miR-6845-5p,Anastrozole,0
miR-6845-5p,Rituximab,0
miR-6845-5p,Cyclosporin A,0
miR-6845-5p,Retinoic Acid,0
miR-6845-5p,Mafosfamide,0
miR-6845-5p,Cyclophosphamide,0
miR-6845-5p,Paroxetine,0
miR-6845-5p,Prednisone,0
miR-6845-5p,Vinorelbine,0
miR-6845-5p,Camptothecin,0
miR-6845-5p,PCI-24781,0
miR-6845-5p,Curcumin,0
miR-6845-5p,Adriamycin,0
miR-6845-5p,Sirolimus,0
miR-6845-5p,Rapamycin,0
miR-6845-5p,Nutlin-3a,0
miR-6845-5p,Mitoxantrone,0
miR-6845-5p,Etoposide,0
miR-6845-5p,Vincristine,0
miR-6845-5p,Docetaxel,0
miR-6845-5p,Erlotinib,0
miR-6845-5p,Tetraplatin,0
miR-6845-5p,Carboplatin,0
miR-6845-5p,Antioestrogens,0
miR-6845-5p,Propofol,0
miR-6845-5p,Paclitaxel,0
miR-6845-5p,Trastuzumab,0
miR-6845-5p,Temsirolimus,0
miR-6845-5p,"1,25(OH)2D3",0
miR-6845-5p,Bortezomib,0
miR-6845-5p,Methotrexate,0
miR-6845-5p,Verapamil,0
miR-6845-5p,epirubicin,0
miR-6845-5p,Chemotherapy,0
miR-6845-5p,TRAIL therapy,0
miR-6845-5p,Glucocorticoid,0
miR-6845-5p,Sorafenib,0
miR-6845-5p,Melphalan,0
miR-6845-5p,Oxymatrine,0
miR-6845-5p,Temozolomide,0
miR-6845-5p,Cetuximab,0
miR-6845-5p,Taxol,0
miR-6845-5p,Dexamethasone,0
miR-6845-5p,Ibrutinib,0
miR-6825-5p,10-Hydroxycamptothecin,0
miR-6825-5p,Prednisolone,0
miR-6825-5p,L-asparaginase,0
miR-675*,Exemestane,0
miR-675*,Ribavirin,0
miR-675*,Valproate,0
miR-675*,Levetiracetam,0
miR-675*,Platinum,0
miR-675*,Sunitinib,0
miR-675*,Letrozole,0
miR-675*,Anastrozole,0
miR-675*,Dichloroacetate,0
miR-675*,Cytarabine,0
miR-675*,Rituximab,0
miR-675*,Retinoic Acid,0
miR-675*,Mafosfamide,0
miR-675*,Cyclophosphamide,0
miR-675*,Paroxetine,0
miR-675*,pegIFN/RBV therapy,0
miR-675*,Cyclopamine,0
miR-6825-5p,Daunorubicin,0
miR-675*,Fludarabine,0
miR-675*,Fulvestrant,0
miR-675*,Epirubicin hydrochloride,0
miR-675*,SIOP treatment protocol,0
miR-675*,Epirubicin HCl,0
miR-675*,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-675*,histone deacetylase inhibitor,0
miR-675*,Topotecan,0
miR-675*,Interferon-alpha,0
miR-675*,Staurosporine,0
miR-675*,Selumetinib,0
miR-675*,Irinotecan,0
miR-675*,Arsenic trioxide,0
miR-675*,Pertuzumab,0
miR-675*,Mitomycin C,0
miR-675*,Prednisone,0
miR-675*,Vinorelbine,0
miR-675*,Cyclosporin A,0
miR-675*,Temozolomide,0
miR-675*,Curcumin,0
miR-675*,Erlotinib,0
miR-675*,Ibrutinib,0
miR-675*,Dexamethasone,0
miR-675*,Taxol,0
miR-675*,Cetuximab,0
miR-675*,Oxymatrine,0
miR-675*,Colchicine,0
miR-675*,Melphalan,0
miR-675*,Sorafenib,0
miR-675*,Glucocorticoid,0
miR-675*,TRAIL therapy,0
miR-675*,Chemotherapy,0
miR-675*,epirubicin,0
miR-675*,PCI-24781,0
miR-675*,Camptothecin,0
miR-675*,Vinblastine,0
miR-675*,Interferon-gamma,0
miR-675*,Epirubicin,0
miR-675*,Capecitabine,0
miR-675*,PLX4720,0
miR-675*,platinum-based doublet chemotherapy ,0
miR-675*,Daunorubicin,0
miR-675*,L-asparaginase,0
miR-675*,Prednisolone,0
miR-675*,10-Hydroxycamptothecin,0
miR-675*,FOLFOX Chemotherapy,0
miR-675*,Fluoropyrimidine,0
miR-675*,Vemurafenib,0
miR-675*,Crizotinib,0
miR-675*,Lorlatinib,0
miR-675*,Leucovorin,0
miR-675*,Euthyrox,0
miR-675*,Teniposide,0
miR-6825-5p,Methotrexate,0
miR-6825-5p,Sorafenib,0
miR-6825-5p,Glucocorticoid,0
miR-6825-5p,TRAIL therapy,0
miR-6825-5p,Chemotherapy,0
miR-6825-5p,epirubicin,0
miR-6825-5p,Verapamil,0
miR-6825-5p,Bortezomib,0
miR-6825-5p,Vincristine,0
miR-6825-5p,"1,25(OH)2D3",0
miR-6825-5p,Temsirolimus,0
miR-6825-5p,Sirolimus,0
miR-6825-5p,Rapamycin,0
miR-6825-5p,Nutlin-3a,0
miR-6825-5p,Mitoxantrone,0
miR-6825-5p,Melphalan,0
miR-6825-5p,Oxymatrine,0
miR-6825-5p,Temozolomide,0
miR-6825-5p,Cetuximab,0
miR-6825-5p,Taxol,0
miR-6825-5p,Dexamethasone,0
miR-6825-5p,Ibrutinib,0
miR-6825-5p,Erlotinib,0
miR-6825-5p,Curcumin,0
miR-6825-5p,PCI-24781,0
miR-6825-5p,Camptothecin,0
miR-6825-5p,Vinblastine,0
miR-6825-5p,Interferon-gamma,0
miR-6825-5p,Epirubicin,0
miR-6825-5p,Capecitabine,0
miR-6825-5p,PLX4720,0
miR-6825-5p,platinum-based doublet chemotherapy ,0
miR-6825-5p,Etoposide,0
miR-6825-5p,Adriamycin,0
miR-675*,Arsenic Trioxide,0
miR-675*,Lapatinib,0
miR-675*,modified ALLIC BFM 2002 protocol,0
miR-675*,DAPT,0
miR-675*,Dihydrotestosterone,0
miR-675*,AGRO100,0
miR-675*,10-hydroxycamptothecin,0
miR-675*,Pemetrexed,0
miR-675*,Tomudex,0
miR-6825-5p,Docetaxel,0
miR-675*,Raltitrexed,0
miR-675*,Pingyangmycin,0
miR-675*,Hydrogen Peroxide,0
miR-675*,Dibenziodolium,0
miR-675*,Carmustine,0
miR-675*,Betulinic acid,0
miR-675*,5-fluorouracil,0
miR-675*,Hydroxyurea,0
miR-675*,Ethanol,0
miR-675*,chemotherapy,0
miR-675*,AED therapy,0
miR-6825-5p,Gemcitabine,0
miR-6825-5p,Dasatinib,0
miR-6825-5p,Imatinib,0
miR-6825-5p,Nilotinib,0
miR-6825-5p,Gefitinib,0
miR-6825-5p,Tamoxifen,0
miR-6825-5p,Trastuzumab,0
miR-6825-5p,Paclitaxel,0
miR-6825-5p,Propofol,0
miR-6825-5p,Antioestrogens,0
miR-6825-5p,Carboplatin,0
miR-6825-5p,Tetraplatin,0
miR-6845-5p,Valproate,0
miR-6845-5p,Ribavirin,0
miR-6845-5p,pegIFN/RBV therapy,0
miR-7,Sorafenib,0
miR-7,Dexamethasone,0
miR-7,Taxol,0
miR-7,Cetuximab,0
miR-7,Temozolomide,0
miR-7,Oxymatrine,0
miR-7,Melphalan,0
miR-7,Glucocorticoid,0
miR-7,Erlotinib,0
miR-7,TRAIL therapy,0
miR-7,Chemotherapy,0
miR-7,epirubicin,0
miR-7,Verapamil,0
miR-7,Pirarubicin,0
miR-7,Methotrexate,0
miR-7,Ibrutinib,0
miR-7,Curcumin,0
miR-6886-3p,Pingyangmycin,0
miR-7,Daunorubicin,0
miR-7,Vemurafenib,0
miR-7,Fluoropyrimidine,0
miR-7,FOLFOX Chemotherapy,0
miR-7,10-Hydroxycamptothecin,0
miR-7,Prednisolone,0
miR-7,L-asparaginase,0
miR-7,platinum-based doublet chemotherapy ,0
miR-7,PCI-24781,0
miR-7,PLX4720,0
miR-7,Capecitabine,0
miR-7,Epirubicin,0
miR-7,Interferon-gamma,0
miR-7,Vinblastine,0
miR-7,Camptothecin,0
miR-7,Bortezomib,0
miR-7,"1,25(OH)2D3",0
miR-7,Temsirolimus,0
miR-6886-3p,modified ALLIC BFM 2002 protocol,0
miR-7,Dasatinib,0
miR-6886-3p,AED therapy,0
miR-6886-3p,chemotherapy,0
miR-6886-3p,Ethanol,0
miR-6886-3p,Hydroxyurea,0
miR-6886-3p,5-fluorouracil,0
miR-6886-3p,DAPT,0
miR-7,Sirolimus,0
miR-6886-3p,Dihydrotestosterone,0
miR-6886-3p,AGRO100,0
miR-6886-3p,10-hydroxycamptothecin,0
miR-6886-3p,Pemetrexed,0
miR-6886-3p,Lapatinib,0
miR-6886-3p,Tomudex,0
miR-7,Imatinib,0
miR-7,Nilotinib,0
miR-7,Gefitinib,0
miR-7,Trastuzumab,0
miR-7,Fluorouracil,0
miR-7,Paclitaxel,0
miR-7,Propofol,0
miR-7,Antioestrogens,0
miR-7,Carboplatin,0
miR-7,Tetraplatin,0
miR-7,Docetaxel,0
miR-7,Adriamycin,0
miR-7,Vincristine,0
miR-7,Etoposide,0
miR-7,Mitoxantrone,0
miR-7,Nutlin-3a,0
miR-7,Rapamycin,0
miR-7,Crizotinib,0
miR-7,Lorlatinib,0
miR-7,Colchicine,0
miR-7,Pingyangmycin,0
miR-7,AGRO100,0
miR-7,10-hydroxycamptothecin,0
miR-7,Pemetrexed,0
miR-7,Lapatinib,0
miR-7,Tomudex,0
miR-7,Raltitrexed,0
miR-7,Hydrogen Peroxide,0
miR-7,Fulvestrant,0
miR-7,Dibenziodolium,0
miR-7,Carmustine,0
miR-7,Betulinic acid,0
miR-7,Arsenic Trioxide,0
miR-7,Teniposide,0
miR-7,Euthyrox,0
miR-7,Dihydrotestosterone,0
miR-7,DAPT,0
miR-7,modified ALLIC BFM 2002 protocol,0
miR-7,5-fluorouracil,0
miR-7,Hydroxyurea,0
miR-7,Ethanol,0
miR-7,chemotherapy,0
miR-7,AED therapy,0
miR-7-1*,Cisplatin,0
miR-7-1*,Gemcitabine,0
miR-7-1*,Dasatinib,0
miR-7-1*,Imatinib,0
miR-7-1*,Nilotinib,0
miR-7-1*,Gefitinib,0
miR-7-1*,Tamoxifen,0
miR-7-1*,Trastuzumab,0
miR-7-1*,Fluorouracil,0
miR-7,Leucovorin,0
miR-7,Epirubicin hydrochloride,0
miR-7,Cyclosporin A,0
miR-7,Cytarabine,0
miR-7,Levetiracetam,0
miR-7,Platinum,0
miR-7,Sunitinib,0
miR-7,Letrozole,0
miR-7,Exemestane,0
miR-7,Anastrozole,0
miR-7,Rituximab,0
miR-7,SIOP treatment protocol,0
miR-7,Retinoic Acid,0
miR-7,Mafosfamide,0
miR-7,Cyclophosphamide,0
miR-7,Paroxetine,0
miR-7,Prednisone,0
miR-7,Vinorelbine,0
miR-7,Valproate,0
miR-7,Ribavirin,0
miR-7,pegIFN/RBV therapy,0
miR-7,Dichloroacetate,0
miR-7,Cyclopamine,0
miR-7,Interferon-alpha,0
miR-7,Mitomycin C,0
miR-7,Pertuzumab,0
miR-7,Arsenic trioxide,0
miR-7,Irinotecan,0
miR-7,Selumetinib,0
miR-7,Staurosporine,0
miR-7,Topotecan,0
miR-7,Fludarabine,0
miR-7,histone deacetylase inhibitor,0
miR-7,intensive induction chemotherapy based on cytarabine and idarubicine,0
miR-7,Epirubicin HCl,0
miR-6886-3p,Raltitrexed,0
miR-6886-3p,Hydrogen Peroxide,0
miR-6845-5p,Dichloroacetate,0
miR-6886-3p,Nilotinib,0
miR-6886-3p,Antioestrogens,0
